,Neighborhood,Medical,Shops,Food,Recreation,Arts,QOL
133,Scarborough Village,7,12,9,3,2,33
134,Malvern,8,9,5,6,1,29
135,Weston,6,10,7,4,2,29
136,West Humber-Clairville,2,3,4,4,0,13
137,Humberlea-Pelmo Park W5,2,13,4,2,0,21
138,Mount Olive-Silverstone-Jamestown,3,23,9,3,6,44
139,Elms-Old Rexdale,1,7,5,4,0,17
140,Flemingdon Park,8,15,15,13,7,58
141,Thorncliffe Park,8,23,25,8,5,69
142,Black Creek,7,6,6,3,2,24
